,City,Lats,Lngs,Max Temp,Cloudiness,Humidity,Wind Speed,Country,Date
0,Heraclea,37.5133,34.0467,80.31,2,40,3.47,TR,1659643832
1,Torbay,47.6666,-52.7314,77.76,100,79,4.0,CA,1659643534
2,Nyrob,60.733,56.7202,64.44,62,74,2.48,RU,1659643833
3,Clyde River,70.4692,-68.5914,42.03,100,83,5.14,CA,1659643834
4,Bengkulu,-3.8004,102.2655,73.85,97,90,2.98,ID,1659643834
5,São Miguel do Araguaia,-13.275,-50.1628,93.63,0,18,3.94,BR,1659643835
6,Ushuaia,-54.8,-68.3,42.46,75,65,3.44,AR,1659643762
7,Pokhvistnevo,53.6524,52.1274,69.49,64,54,3.56,RU,1659643836
8,Bluff,-46.6,168.3333,57.79,100,69,20.29,NZ,1659643836
9,Orbetello,42.4408,11.2196,79.86,0,79,6.02,IT,1659643837
10,Mataura,-46.1927,168.8643,57.47,100,91,5.17,NZ,1659643837
11,Hermanus,-34.4187,19.2345,48.79,100,77,6.6,ZA,1659643838
12,Mar del Plata,-38.0023,-57.5575,49.08,75,77,10.36,AR,1659643711
13,Yichun,47.7,128.9,67.46,100,99,4.54,CN,1659643839
14,Albany,42.6001,-73.9662,99.64,32,47,8.61,US,1659643628
15,Chui,-33.6971,-53.4616,52.99,100,95,15.86,UY,1659643700
16,Manokwari,-0.8667,134.0833,76.8,95,79,2.86,ID,1659643840
17,Atuona,-9.8,-139.0333,77.65,23,68,17.09,PF,1659643840
18,Guozhen,34.3659,107.359,78.66,3,78,2.42,CN,1659643841
19,Codrington,-38.2667,141.9667,48.06,94,90,11.81,AU,1659643841
20,Rapid Valley,44.0625,-103.1463,100.76,0,23,11.5,US,1659643842
21,Busselton,-33.65,115.3333,51.64,100,75,5.61,AU,1659643842
22,Diamantino,-14.4086,-56.4461,96.33,6,16,2.55,BR,1659643843
23,Vaini,-21.2,-175.2,77.16,75,83,6.91,TO,1659643843
24,Iqaluit,63.7506,-68.5145,43.7,100,87,4.0,CA,1659643844
25,Indramayu,-6.3264,108.32,75.76,87,74,9.71,ID,1659643844
26,Hithadhoo,-0.6,73.0833,81.5,100,68,11.21,MV,1659643845
27,Cidreira,-30.1811,-50.2056,66.76,24,82,6.76,BR,1659643845
28,Northam,51.0333,-4.2167,61.39,2,63,11.92,GB,1659643846
29,Opuwo,-18.0607,13.84,64.08,3,23,3.11,NA,1659643846
30,Rikitea,-23.1203,-134.9692,71.06,97,71,19.28,PF,1659643846
31,Adrar,20.5022,-10.0711,99.05,1,25,18.59,MR,1659643847
32,George Town,5.4112,100.3354,80.89,20,84,0.0,MY,1659643683
33,New Norfolk,-42.7826,147.0587,43.92,43,67,2.73,AU,1659643848
34,Jamestown,42.097,-79.2353,84.02,0,63,5.75,US,1659643646
35,Eureka,40.8021,-124.1637,94.68,7,76,4.0,US,1659643848
36,Kapaa,22.0752,-159.319,82.72,20,70,9.22,US,1659643772
37,Saquarema,-22.92,-42.5103,75.24,100,74,10.83,BR,1659643849
